 Name;Klasse;prio1itemid;prio2itemid;prio3itemid;prio1itemname;prio2itemname;prio3itemname;
Nerethil;Druide;0;21620;21839;;Ring of the Martyr;Scepter of the False Prophet;
Octa;Druide;0;21680;21602;;Weste der zügigen Vollstreckung;Vollstreckungsarmschienen der Qiraji;
Orimara;Druide;21237;21620;21602;Imperiale Qirajiinsignie;Ring des Märtyrers;Vollstreckungsarmschienen der Qiraji;
Buffin;Hexenmeister;21608;21608;21608;Amulett von Vek'nilash;Amulett von Vek'nilash;Amulett von Vek'nilash;
Deltana;Hexenmeister;20735;21838;16253;Formel: Umhang - Feingefühl;Gewand des königlichen Aufstiegs;Formel: Brust - Große Werte;
Faizi;Hexenmeister;21597;21597;21597;Königliches Szepter von Vek'lor;Königliches Szepter von Vek'lor;Königliches Szepter von Vek'lor;
Javi;Hexenmeister;21585;21585;21585;Stulpen der dunklen Stürme;Stulpen der dunklen Stürme;Stulpen der dunklen Stürme;
Ramoni;Hexenmeister;21221;21221;21221;Auge von C'Thun;Auge von C'Thun;Auge von C'Thun;
Wilfried;Hexenmeister;22730;22730;22730;Augenstrangkordel;Augenstrangkordel;Augenstrangkordel;
Yumpi;Jäger;21710;21670;21635;Umhang des gefallenen Gottes;Abzeichen der Schwarmwache;Widerhaken des Sandhäschers;
Âmbition;Krieger;21677;21620;21670;Ring des Qirajizorns;Ring des Märtyrers;Abzeichen der Schwarmwache;
Evocíance;Krieger;21670;21626;21702;Abzeichen der Schwarmwache;Schleimbeschichtete Gamaschen;Amulett des faulen Zauberschutzes;
Harime;Krieger;0;21586;21837;;Gürtel der endlosen Pein;Kriegshammer des Anubisath;
Ippok;Krieger;21598;21685;21708;Königlicher Qirajigürtel;Versteinerter Skarabäus;Handgelenksschutz aus Käferschuppen;
Kiroco;Krieger;0;21837;21581;;Kriegshammer des Anubisath;Stulpen der Vernichtung;
Pepperoni;Krieger;21581;21581;21581;Stulpen der Vernichtung;Stulpen der Vernichtung;Stulpen der Vernichtung;
Perlenpaula;Krieger;20875;21685;21639;Götze der Nacht;Versteinerter Skarabäus;Schulterstücke des Unerbittlichen;
Ragnard;Krieger;21665;21685;22732;Mantel der boshaften Rache;Versteinerter Skarabäus;Mal von C'Thun;
Reyna;Krieger;21664;21618;21321;Stachelhalsschmuck;Handgelenksschutz des Schwarmbauentweihers;Roter Qirajiresonanzkristall;
Skadi;Krieger;22732;21674;21663;Mal von C'Thun;Stulpen der festen Entschlossenheit;Roben des Schutzheiligen;
Thorgrimmson;Krieger;21837;21626;21677;Kriegshammer des Anubisath;Schleimbeschichtete Gamaschen;Ring des Qirajizorns;
Arie;Magier;22730;22730;22730;Augenstrangkordel;Augenstrangkordel;Augenstrangkordel;
Julius;Magier;21221;21221;21221;Auge von C'Thun;Auge von C'Thun;Auge von C'Thun;
Kera;Magier;21585;21585;21585;Stulpen der dunklen Stürme;Stulpen der dunklen Stürme;Stulpen der dunklen Stürme;
Lillianvoss;Magier;21585;21585;21585;Stulpen der dunklen Stürme;Stulpen der dunklen Stürme;Stulpen der dunklen Stürme;
Magegnom;Magier;0;21237;21676;;Imperiale Qirajiinsignie;Gamaschen des faulenden Schwarms;
Babuna;Paladin;21620;21582;20929;Ring des Märtyrers;Griff des alten Gottes;Knochenpanzer des alten Gottes;
Bubblesuri;Paladin;0;20930;21701;awd;Vek'lors Diadem;Umhang des geballten Hasses;
Cromos;Paladin;21620;21666;21604;Ring des Märtyrers;Sarturas Macht;Armreifen der königlichen Erlösung;
Molakai;Paladin;0;16253;0;außer;Formel: Brust - Große Werte;nur noch nicen loot :);
Brasok;Priester;16253;21600;22731;Formel: Brust - Große Werte;Stiefel der göttlichen Erscheinung;Umhang des Verschlungenen;
Medinait;Priester;22731;22731;22731;Umhang des Verschlungenen;Umhang des Verschlungenen;Umhang des Verschlungenen;
Panador;Priester;21666;21694;21615;Sarturas Macht;Dreistoffmantel;Don Rigobertos verlorener Hut;
Patriona;Priester;20731;20735;20729;Formel: Handschuhe - Überragende Beweglichkeit;Formel: Umhang - Feingefühl;Formel: Handschuhe - Feuermacht;
Solax;Priester;21583;21583;21583;Umhang der Klarsicht;Umhang der Klarsicht;Umhang der Klarsicht;
Yunnchen;Priester;21839;21839;21839;Szepter des falschen Propheten;Szepter des falschen Propheten;Szepter des falschen Propheten;
Bloodwolf;Schurke;21586;21672;21701;Gürtel der endlosen Pein;Handschuhe der Vollstreckung;Umhang des geballten Hasses;
Emergencydoc;Schurke;23570;23570;23570;Jom Gabbar;Jom Gabbar;Jom Gabbar;
Ripley;Schurke;21650;21586;21602;Uralter Qirajizerfetzer;Gürtel der endlosen Pein;Vollstreckungsarmschienen der Qiraji;
Selindra;Schurke;0;20928;20927;;Befehlsbindungen der Qiraji;Ouros intakte Haut;
Thrillseeker;Schurke;0;21650;21616;Lecker Weinchen;Uralter Qirajizerfetzer;Huhurans Stachel;
