 Name;Klasse;prio1itemid;prio2itemid;prio3itemid;prio1itemname;prio2itemname;prio3itemname;
Mîracoli;Druide;21663;21620;21583;Roben des Schutzheiligen;Ring des Märtyrers;Umhang der Klarsicht;
Eotling;Hexenmeister;5760;5760;20875;Eterniumschließkassette;Eterniumschließkassette;Götze der Nacht;
Faizi;Hexenmeister;21221;21221;21221;Auge von C'Thun;Auge von C'Thun;Auge von C'Thun;
Javi;Hexenmeister;0;21597;22731;;Königliches Szepter von Vek'lor;Umhang des Verschlungenen;
Joi;Hexenmeister;21585;21585;21585;Stulpen der dunklen Stürme;Stulpen der dunklen Stürme;Stulpen der dunklen Stürme;
Ellayana;Jäger;23570;23570;23570;Jom Gabbar;Jom Gabbar;Jom Gabbar;
Laundry;Jäger;21596;21635;20875;Ring des Göttertöters;Widerhaken des Sandhäschers;Götze der Nacht;
Shadowsniper;Jäger;21321;21221;21670;Roter Qirajiresonanzkristall;Auge von C'Thun;Abzeichen der Schwarmwache;
Âmbition;Krieger;23557;21667;21620;Larve des großen Wurms;Beinplatten des flammenden Lichts;Ring des Märtyrers;
Evocíance;Krieger;0;20928;21837;-;Befehlsbindungen der Qiraji;Kriegshammer des Anubisath;
Heer;Krieger;23557;21677;21650;Larve des großen Wurms;Ring des Qirajizorns;Uralter Qirajizerfetzer;
Ippok;Krieger;21581;21598;21674;Stulpen der Vernichtung;Königlicher Qirajigürtel;Stulpen der festen Entschlossenheit;
Knoblauch;Krieger;21650;21670;21677;Uralter Qirajizerfetzer;Abzeichen der Schwarmwache;Ring des Qirajizorns;
Montross;Krieger;21664;21814;21692;Stachelhalsschmuck;Brustplatte der Vernichtung;Triadengurt;
Pepperoni;Krieger;0;20875;20875;;Götze der Nacht;Götze der Nacht;
Perlenpaula;Krieger;20875;21604;21321;Götze der Nacht;Armreifen der königlichen Erlösung;Roter Qirajiresonanzkristall;
Saturo;Krieger;21581;21581;21581;Stulpen der Vernichtung;Stulpen der Vernichtung;Stulpen der Vernichtung;
Thorgrimmson;Krieger;6096;21647;21601;Lehrlingshemd;Fetisch des Sandhäschers;Ring des Imperators Vek'lor;
Zimzarek;Krieger;22732;21664;21134;Mal von C'Thun;Stachelhalsschmuck;Dunkle Schneide des Irrsinns;
Arie;Magier;21585;21585;21585;Stulpen der dunklen Stürme;Stulpen der dunklen Stürme;Stulpen der dunklen Stürme;
Julius;Magier;22730;21597;21622;Augenstrangkordel;Königliches Szepter von Vek'lor;Geschärfter Silithidenknochen;
Kera;Magier;21608;21608;21608;Amulett von Vek'nilash;Amulett von Vek'nilash;Amulett von Vek'nilash;
Lillianvoss;Magier;0;21647;16253;;Fetisch des Sandhäschers;Formel: Brust - Große Werte;
Tresuri;Magier;22731;21836;0;Umhang des Verschlungenen;Ritssyns Ring des Chaos;;
Anouk;Paladin;20726;21604;21639;Formel: Handschuhe - Bedrohung;Armreifen der königlichen Erlösung;Schulterstücke des Unerbittlichen;
Bartuzakar;Paladin;21582;21582;21582;Griff des alten Gottes;Griff des alten Gottes;Griff des alten Gottes;
Blitzlicht;Paladin;8952;21839;21604;Geröstete Wachtel;Szepter des falschen Propheten;Armreifen der königlichen Erlösung;
Ollebolle;Paladin;21667;20929;21232;Beinplatten des flammenden Lichts;Knochenpanzer des alten Gottes;Imperiale Qirajiwaffe;
Tomii;Paladin;21667;21606;21610;Beinplatten des flammenden Lichts;Gürtel des gefallenen Imperators;Wurmschuppenblocker;
Brasok;Priester;5263;21600;22731;Fussel;Stiefel der göttlichen Erscheinung;Umhang des Verschlungenen;
Dennis;Priester;21604;20731;20735;Armreifen der königlichen Erlösung;Formel: Handschuhe - Überragende Beweglichkeit;Formel: Umhang - Feingefühl;
Kerwin;Priester;20875;21608;21709;Götze der Nacht;Amulett von Vek'nilash;Ring des gefallenen Gottes;
Patriona;Priester;21221;21221;21221;Auge von C'Thun;Auge von C'Thun;Auge von C'Thun;
Solax;Priester;21839;21666;21237;Szepter des falschen Propheten;Sarturas Macht;Imperiale Qirajiinsignie;
Vonmir;Priester;0;0;0;Irgendwas Schönes :);Splitter?;mehr Splitter?;
Yunnchen;Priester;0;21663;21604;;Roben des Schutzheiligen;Armreifen der königlichen Erlösung;
Anes;Schurke;21701;23557;21650;Umhang des geballten Hasses;Larve des großen Wurms;Uralter Qirajizerfetzer;
Bloodwolf;Schurke;0;21701;21670;;Umhang des geballten Hasses;Abzeichen der Schwarmwache;
Kartell;Schurke;3676;21602;20927;Schleimiges Sekret;Vollstreckungsarmschienen der Qiraji;Ouros intakte Haut;
Salto;Schurke;0;0;20929;;;Knochenpanzer des alten Gottes;
