 Name;Klasse;prio1itemid;prio2itemid;prio3itemid;prio1itemname;prio2itemname;prio3itemname;
Adeliana;Druide;7807;21620;21663;Schokoriegel;Ring des Märtyrers;Roben des Schutzheiligen;
Nerethil;Druide;21620;21666;21604;Ring des Märtyrers;Sarturas Macht;Armreifen der königlichen Erlösung;
Octa;Druide;0;21602;21586;;Vollstreckungsarmschienen der Qiraji;Gürtel der endlosen Pein;
Snow;Druide;21602;21601;21675;Vollstreckungsarmschienen der Qiraji;Ring des Imperators Vek'lor;Dicker Qirajihautgürtel;
Buffin;Hexenmeister;22730;22730;22730;Augenstrangkordel;Augenstrangkordel;Augenstrangkordel;
Deltana;Hexenmeister;21585;21585;21585;Stulpen der dunklen Stürme;Stulpen der dunklen Stürme;Stulpen der dunklen Stürme;
Ramoni;Hexenmeister;21597;21597;21597;Königliches Szepter von Vek'lor;Königliches Szepter von Vek'lor;Königliches Szepter von Vek'lor;
Twarves;Hexenmeister;21608;21608;21608;Amulett von Vek'nilash;Amulett von Vek'nilash;Amulett von Vek'nilash;
Wilfried;Hexenmeister;22730;22730;22730;Augenstrangkordel;Augenstrangkordel;Augenstrangkordel;
Zyandra;Hexenmeister;0;21237;20932;;Imperiale Qirajiinsignie;Dominanzbindungen der Qiraji;
Fowen;Jäger;0;21670;23557;;Abzeichen der Schwarmwache;Larve des großen Wurms;
Shadowsniper;Jäger;0;21596;21673;;Ring des Göttertöters;Silithidenklaue;
Âmbition;Krieger;21664;21620;21626;Stachelhalsschmuck;Ring des Märtyrers;Schleimbeschichtete Gamaschen;
Evocíance;Krieger;21674;21598;21626;Stulpen der festen Entschlossenheit;Königlicher Qirajigürtel;Schleimbeschichtete Gamaschen;
Gyatt;Krieger;0;21701;21814;;Umhang des geballten Hasses;Brustplatte der Vernichtung;
Ippok;Krieger;20875;21708;21134;Götze der Nacht;Handgelenksschutz aus Käferschuppen;Dunkle Schneide des Irrsinns;
Pepperoni;Krieger;21581;21581;21581;Stulpen der Vernichtung;Stulpen der Vernichtung;Stulpen der Vernichtung;
Reyna;Krieger;21664;21618;21700;Stachelhalsschmuck;Handgelenksschutz des Schwarmbauentweihers;Anhänger des Qirajiwächters;
Saturo;Krieger;21602;21667;21615;Vollstreckungsarmschienen der Qiraji;Beinplatten des flammenden Lichts;Don Rigobertos verlorener Hut;
Skadi;Krieger;21670;21670;21670;Abzeichen der Schwarmwache;Abzeichen der Schwarmwache;Abzeichen der Schwarmwache;
Skadi;Krieger;21677;21604;21664;Ring des Qirajizorns;Armreifen der königlichen Erlösung;Stachelhalsschmuck;
Thorgrimmson;Krieger;21837;22732;23557;Kriegshammer des Anubisath;Mal von C'Thun;Larve des großen Wurms;
Cleola;Magier;21622;20735;20875;Geschärfter Silithidenknochen;Formel: Umhang - Feingefühl;Götze der Nacht;
Excelsion;Magier;8953;21836;21603;Frittierte Kochbanane;Ritssyns Ring des Chaos;Zauberstab des Qirajiadels;
Julius;Magier;21585;21585;21585;Stulpen der dunklen Stürme;Stulpen der dunklen Stürme;Stulpen der dunklen Stürme;
Lillianvoss;Magier;21585;21585;21585;Stulpen der dunklen Stürme;Stulpen der dunklen Stürme;Stulpen der dunklen Stürme;
Magegnom;Magier;22731;21622;21647;Umhang des Verschlungenen;Geschärfter Silithidenknochen;Fetisch des Sandhäschers;
Babuna;Paladin;21582;21582;21582;Griff des alten Gottes;Griff des alten Gottes;Griff des alten Gottes;
Bubblesuri;Paladin;21701;21672;21692;Umhang des geballten Hasses;Handschuhe der Vollstreckung;Triadengurt;
Cromos;Paladin;21663;21620;21604;Roben des Schutzheiligen;Ring des Märtyrers;Armreifen der königlichen Erlösung;
Juksi;Paladin;0;21667;21838;Hase;Beinplatten des flammenden Lichts;Gewand des königlichen Aufstiegs;
Bimm;Priester;5428;21666;21620;Ein exotisches Kochbuch;Sarturas Macht;Ring des Märtyrers;
Brasok;Priester;16253;21221;22731;Formel: Brust - Große Werte;Auge von C'Thun;Umhang des Verschlungenen;
Sinftw;Priester;5263;20726;20727;Fussel;Formel: Handschuhe - Bedrohung;Formel: Handschuhe - Schattenmacht;
Solax;Priester;21583;21583;21583;Umhang der Klarsicht;Umhang der Klarsicht;Umhang der Klarsicht;
Yunnchen;Priester;21839;21839;21839;Szepter des falschen Propheten;Szepter des falschen Propheten;Szepter des falschen Propheten;
Emergencydoc;Schurke;23570;23570;23570;Jom Gabbar;Jom Gabbar;Jom Gabbar;
Jôncenà;Schurke;21672;21602;21670;Handschuhe der Vollstreckung;Vollstreckungsarmschienen der Qiraji;Abzeichen der Schwarmwache;
Kartell;Schurke;21586;21586;21586;Gürtel der endlosen Pein;Gürtel der endlosen Pein;Gürtel der endlosen Pein;
Ripley;Schurke;21701;21602;21650;Umhang des geballten Hasses;Vollstreckungsarmschienen der Qiraji;Uralter Qirajizerfetzer;
Selindra;Schurke;21672;21602;21650;Handschuhe der Vollstreckung;Vollstreckungsarmschienen der Qiraji;Uralter Qirajizerfetzer;
Thrillseeker;Schurke;21221;21221;21221;Auge von C'Thun;Auge von C'Thun;Auge von C'Thun;
