 Name;Klasse;prio1itemid;prio2itemid;prio3itemid;prio1itemname;prio2itemname;prio3itemname;
Snow;Druide;21693;16253;22399;Erscheinung des Verschlingers;Formel: Brust - Große Werte;Götze der Gesundheit;
Visenna;Druide;0;21602;21700;;Vollstreckungsarmschienen der Qiraji;Anhänger des Qirajiwächters;
Faizi;Hexenmeister;22731;21221;0;Umhang des Verschlungenen;Auge von C'Thun;;
Faizi;Hexenmeister;0;0;0;;;;
Joi;Hexenmeister;21585;21585;21585;Stulpen der dunklen Stürme;Stulpen der dunklen Stürme;Stulpen der dunklen Stürme;
Plutonia;Hexenmeister;21237;21221;22731;Imperiale Qirajiinsignie;Auge von C'Thun;Umhang des Verschlungenen;
Twarves;Hexenmeister;5263;5263;20731;Fussel;Fussel;Formel: Handschuhe - Überragende Beweglichkeit;
Ellayana;Jäger;23570;21670;21673;Jom Gabbar;Abzeichen der Schwarmwache;Silithidenklaue;
Janth;Jäger;0;21670;23570;;Abzeichen der Schwarmwache;Jom Gabbar;
Laundry;Jäger;21221;21635;5263;Auge von C'Thun;Widerhaken des Sandhäschers;Fussel;
Zotgrim;Jäger;20875;20875;20874;Götze der Nacht;Götze der Nacht;Götze der Sonne;
Âmbition;Krieger;23557;21604;21691;Larve des großen Wurms;Armreifen der königlichen Erlösung;Brühschlammige Stulpen;
Evocíance;Krieger;0;21837;21232;Leer;Kriegshammer des Anubisath;Imperiale Qirajiwaffe;
Ippok;Krieger;21581;21598;22732;Stulpen der Vernichtung;Königlicher Qirajigürtel;Mal von C'Thun;
Montross;Krieger;20027;20928;20926;Gesunde Rennerdrüse;Befehlsbindungen der Qiraji;Vek'nilashs Reif;
Perlenpaula;Krieger;21674;20875;21321;Stulpen der festen Entschlossenheit;Götze der Nacht;Roter Qirajiresonanzkristall;
Saturo;Krieger;21581;21677;21621;Stulpen der Vernichtung;Ring des Qirajizorns;Umhang des goldenen Schwarms;
Stahliwlle;Krieger;21664;21702;0;Stachelhalsschmuck;Amulett des faulen Zauberschutzes;;
Thorgrimmson;Krieger;6096;21126;21647;Lehrlingshemd;Stich des Todes;Fetisch des Sandhäschers;
Zimzarek;Krieger;22732;21621;21601;Mal von C'Thun;Umhang des goldenen Schwarms;Ring des Imperators Vek'lor;
Arie;Magier;21585;21585;21585;Stulpen der dunklen Stürme;Stulpen der dunklen Stürme;Stulpen der dunklen Stürme;
Cleola;Magier;21597;20875;20735;Königliches Szepter von Vek'lor;Götze der Nacht;Formel: Umhang - Feingefühl;
Hikii;Magier;21622;21597;21709;Geschärfter Silithidenknochen;Königliches Szepter von Vek'lor;Ring des gefallenen Gottes;
Kera;Magier;21608;21608;21608;Amulett von Vek'nilash;Amulett von Vek'nilash;Amulett von Vek'nilash;
Moguun;Magier;21622;21678;21579;Geschärfter Silithidenknochen;Halskette der Reinheit;Bezwungene Tentakel von C'Thun;
Petrosilius;Magier;21585;21585;21585;Stulpen der dunklen Stürme;Stulpen der dunklen Stürme;Stulpen der dunklen Stürme;
Shinyflakes;Magier;0;22730;21608;;Augenstrangkordel;Amulett von Vek'nilash;
Tresuri;Magier;22730;22730;22730;Augenstrangkordel;Augenstrangkordel;Augenstrangkordel;
Anouk;Paladin;21604;20731;20726;Armreifen der königlichen Erlösung;Formel: Handschuhe - Überragende Beweglichkeit;Formel: Handschuhe - Bedrohung;
Bartuzakar;Paladin;21582;21582;21582;Griff des alten Gottes;Griff des alten Gottes;Griff des alten Gottes;
Ollebolle;Paladin;21663;21615;21667;Roben des Schutzheiligen;Don Rigobertos verlorener Hut;Beinplatten des flammenden Lichts;
Brasok;Priester;20726;22731;21600;Formel: Handschuhe - Bedrohung;Umhang des Verschlungenen;Stiefel der göttlichen Erscheinung;
Dennis;Priester;21221;21620;21603;Auge von C'Thun;Ring des Märtyrers;Zauberstab des Qirajiadels;
Kerwin;Priester;20875;21526;21597;Götze der Nacht;Band der eisigen Tiefen;Königliches Szepter von Vek'lor;
Medinait;Priester;0;21600;21608;nix;Stiefel der göttlichen Erscheinung;Amulett von Vek'nilash;
Solax;Priester;21839;21666;21237;Szepter des falschen Propheten;Sarturas Macht;Imperiale Qirajiinsignie;
Vonmir;Priester;21583;21583;21583;Umhang der Klarsicht;Umhang der Klarsicht;Umhang der Klarsicht;
Yunnchen;Priester;0;21603;21663;;Zauberstab des Qirajiadels;Roben des Schutzheiligen;
Anes;Schurke;23557;21701;21616;Larve des großen Wurms;Umhang des geballten Hasses;Huhurans Stachel;
Bloodwolf;Schurke;0;0;0;;;;
Jôncenà;Schurke;23570;23570;23570;Jom Gabbar;Jom Gabbar;Jom Gabbar;
Relentless;Schurke;20929;21126;5760;Knochenpanzer des alten Gottes;Stich des Todes;Eterniumschließkassette;
