 Name;Klasse;prio1itemid;prio2itemid;prio3itemid;prio1itemname;prio2itemname;prio3itemname;
Zinzino;Druide;0;0;16835;;;Gamaschen des Cenarius;
Joi;Hexenmeister;17011;17010;17012;Lavakern;Feuerkern;Kernleder;
Vetron;Hexenmeister;18820;18814;18259;Talisman der ephemeren Macht;Halsschmuck des Feuerlords;Formel: Waffe - Zauberkraft;
Blacktalon;Jäger;18703;16938;16848;Uraltes versteinertes Blatt;Beinschützer des Drachenjägers;Schulterklappen des Riesenjägers;
Brug;Jäger;16845;16938;17102;Brustplatte des Riesenjägers;Beinschützer des Drachenjägers;Umhang der verhüllten Nebel;
Køppí;Jäger;17203;16827;16825;Sulfuronblock;Gürtel des Nachtmeuchlers;Armreifen des Nachtmeuchlers;
Shadowsniper;Jäger;16938;17102;16845;Beinschützer des Drachenjägers;Umhang der verhüllten Nebel;Brustplatte des Riesenjägers;
Ariovist;Krieger;18832;19137;18821;Unbarmherzige Klinge;Gurt des Ansturms;Ring des rasanten Schlags;
Audrey;Krieger;18832;16962;16863;Unbarmherzige Klinge;Beinplatten des Zorns;Stulpen der Macht;
Derhansdampf;Krieger;5760;18823;228283;Eterniumschließkassette;Alte Kernlederhandschuhe;Schiftung des wilden Wachstums;
Ozzi;Krieger;19137;17069;16862;Gurt des Ansturms;Schläger-Mal;Sabatons der Macht;
Postbotin;Krieger;17203;17011;17010;Sulfuronblock;Lavakern;Feuerkern;
Ragnard;Krieger;17203;18292;16861;Sulfuronblock;Bauplan: Kernscharfschützengewehr;Armschienen der Macht;
Reyna;Krieger;19137;18810;0;Gurt des Ansturms;Wilde Wachstums-Schiftung;-;
Skadi;Krieger;18821;18810;17011;Ring des rasanten Schlags;Wilde Wachstums-Schiftung;Lavakern;
Tensorr;Krieger;19137;17069;18290;Gurt des Ansturms;Schläger-Mal;Bauplan: Biznicks 247x128 treffsicheres Zielfernro;
Thorgrimmson;Krieger;18821;18821;18821;Ring des rasanten Schlags;Ring des rasanten Schlags;Ring des rasanten Schlags;
Zimzarek;Krieger;21371;17011;17010;Muster: Kernteufelsstofftasche;Lavakern;Feuerkern;
Dahli;Magier;19147;19136;16864;Ring der Zauberkraft;Mana entfachende Kordel;Gürtel der Macht;
Dantholomäos;Magier;19136;19147;17011;Mana entfachende Kordel;Ring der Zauberkraft;Lavakern;
Mála;Magier;16799;19136;18814;Bindungen des Arkanisten;Mana entfachende Kordel;Halsschmuck des Feuerlords;
Spellbinder;Magier;0;0;0;spellbinder;;;
Stupsi;Magier;18842;18820;16795;Stab der Dominanz;Talisman der ephemeren Macht;Krone des Arkanisten;
Babuna;Paladin;19140;19140;19140;Band der Ausbrennung;Band der Ausbrennung;Band der Ausbrennung;
Bubblesuri;Paladin;19137;18821;17011;Gurt des Ansturms;Ring des rasanten Schlags;Lavakern;
Palanthor;Paladin;18810;18875;18264;Wilde Wachstums-Schiftung;Salamanderschuppengamaschen;Pläne: Elementarwetzstein;
Séth;Paladin;18810;18875;17103;Wilde Wachstums-Schiftung;Salamanderschuppengamaschen;Magierklinge des Azurlieds;
Brasok;Priester;18259;18259;18259;Formel: Waffe - Zauberkraft;Formel: Waffe - Zauberkraft;Formel: Waffe - Zauberkraft;
Ferdock;Priester;16812;16811;16817;Handschuhe der Prophezeiung;Stiefel der Prophezeiung;Gurt der Prophezeiung;
Flunse;Priester;18563;17010;17011;Fesseln des Windsuchers;Feuerkern;Lavakern;
Jandura;Priester;19140;19140;19140;Band der Ausbrennung;Band der Ausbrennung;Band der Ausbrennung;
Kadyía;Priester;18814;18814;18814;Halsschmuck des Feuerlords;Halsschmuck des Feuerlords;Halsschmuck des Feuerlords;
Medinait;Priester;18259;18259;18259;Formel: Waffe - Zauberkraft;Formel: Waffe - Zauberkraft;Formel: Waffe - Zauberkraft;
Sinftw;Priester;18260;18257;18265;Formel: Waffe - Heilkraft;Rezept: Erheblicher Verjüngungstrank;Muster: Flimmerkernwickeltücher;
Solax;Priester;17203;16253;17011;Sulfuronblock;Formel: Brust - Große Werte;Lavakern;
Terion;Priester;16922;17010;19145;Gamaschen der Erhabenheit;Feuerkern;Robe der flüchtigen Macht;
Célíná;Schurke;16909;16822;16821;Blutfanghose;Hose des Nachtmeuchlers;Kopfschutz des Nachtmeuchlers;
Desmond;Schurke;18290;17010;17012;Bauplan: Biznicks 247x128 treffsicheres Zielfernro;Feuerkern;Kernleder;
Emergencydoc;Schurke;17063;17063;17063;Band von Accuria;Band von Accuria;Band von Accuria;
Wertraud;Schurke;17069;16909;18823;Schläger-Mal;Blutfanghose;Alte Kernlederhandschuhe;
