 Name;Klasse;prio1itemid;prio2itemid;prio3itemid;prio1itemname;prio2itemname;prio3itemname;
Adeliana;Druide;17010;16827;17012;Feuerkern;Gürtel des Nachtmeuchlers;Kernleder;
Octa;Druide;17063;18879;17102;Band von Accuria;Schwerer Dunkeleisenring;Umhang der verhüllten Nebel;
Vetron;Hexenmeister;16930;18814;18820;Gamaschen der Nemesis;Halsschmuck des Feuerlords;Talisman der ephemeren Macht;
Himijana;Jäger;18260;18259;18817;Formel: Waffe - Heilkraft;Formel: Waffe - Zauberkraft;Krone der Zerstörung;
Locher;Jäger;16938;18805;16846;Beinschützer des Drachenjägers;Kernhundzahn;Helm des Riesenjägers;
Shadowsniper;Jäger;17102;16845;16851;Umhang der verhüllten Nebel;Brustplatte des Riesenjägers;Gürtel des Riesenjägers;
Snowbunny;Jäger;16938;18283;16848;Beinschützer des Drachenjägers;Biznicks 247x128 treffsicheres Zielfernrohr;Schulterklappen des Riesenjägers;
Âmbition;Krieger;18564;18810;18291;Fesseln des Windsuchers;Wilde Wachstums-Schiftung;Bauplan: Machtreaktive Scheibe;
Ariovist;Krieger;18832;18264;17066;Unbarmherzige Klinge;Pläne: Elementarwetzstein;Drillbohrer-Scheibe;
Postbotin;Krieger;17203;17012;17010;Sulfuronblock;Kernleder;Feuerkern;
Ragnard;Krieger;17203;18292;18817;Sulfuronblock;Bauplan: Kernscharfschützengewehr;Krone der Zerstörung;
Skadi;Krieger;17010;18810;18821;Feuerkern;Wilde Wachstums-Schiftung;Ring des rasanten Schlags;
Thorgrimmson;Krieger;18821;18821;18821;Ring des rasanten Schlags;Ring des rasanten Schlags;Ring des rasanten Schlags;
Dahli;Magier;19136;19147;13493;Mana entfachende Kordel;Ring der Zauberkraft;Rezept: Großes Arkanelixier;
Dantholomäos;Magier;16915;19147;19136;Hose des Netherwinds;Ring der Zauberkraft;Mana entfachende Kordel;
Excelsion;Magier;19136;19147;19147;Mana entfachende Kordel;Ring der Zauberkraft;Ring der Zauberkraft;
Magigo;Magier;17203;18257;16864;Sulfuronblock;Rezept: Erheblicher Verjüngungstrank;Gürtel der Macht;
Mála;Magier;16799;19136;18814;Bindungen des Arkanisten;Mana entfachende Kordel;Halsschmuck des Feuerlords;
Babuna;Paladin;19140;17010;17012;Band der Ausbrennung;Feuerkern;Kernleder;
Bubblesuri;Paladin;19137;18821;19146;Gurt des Ansturms;Ring des rasanten Schlags;Handgelenksschutz der Stabilität;
Palanthor;Paladin;17103;18875;16853;Magierklinge des Azurlieds;Salamanderschuppengamaschen;Brustschutz der Gerechtigkeit;
Poel;Paladin;17203;17010;16864;Sulfuronblock;Feuerkern;Gürtel der Macht;
Ferdock;Priester;0;18646;16922;;Das Auge der Offenbarung;Gamaschen der Erhabenheit;
Flunse;Priester;16922;16812;16811;Gamaschen der Erhabenheit;Handschuhe der Prophezeiung;Stiefel der Prophezeiung;
Jandura;Priester;19140;19140;19140;Band der Ausbrennung;Band der Ausbrennung;Band der Ausbrennung;
Kadyía;Priester;19147;16827;18265;Ring der Zauberkraft;Gürtel des Nachtmeuchlers;Muster: Flimmerkernwickeltücher;
Medinait;Priester;18814;18814;18814;Halsschmuck des Feuerlords;Halsschmuck des Feuerlords;Halsschmuck des Feuerlords;
Panador;Priester;16922;13493;19140;Gamaschen der Erhabenheit;Rezept: Großes Arkanelixier;Band der Ausbrennung;
Sinftw;Priester;18260;18257;18809;Formel: Waffe - Heilkraft;Rezept: Erheblicher Verjüngungstrank;Schärpe der geflüsterten Geheimnisse;
Solax;Priester;18259;16922;17011;Formel: Waffe - Zauberkraft;Gamaschen der Erhabenheit;Lavakern;
Terion;Priester;16922;18646;19145;Gamaschen der Erhabenheit;Das Auge der Offenbarung;Robe der flüchtigen Macht;
Björh;Schurke;17069;18805;18816;Schläger-Mal;Kernhundzahn;Klinge des Verderbens;
Desmond;Schurke;18290;17010;17012;Bauplan: Biznicks 247x128 treffsicheres Zielfernro;Feuerkern;Kernleder;
Emegencydoc;Schurke;17063;17063;17063;Band von Accuria;Band von Accuria;Band von Accuria;
Salto;Schurke;17012;17010;17011;Kernleder;Feuerkern;Lavakern;
Thrillseeker;Schurke;18832;17069;16909;Unbarmherzige Klinge;Schläger-Mal;Blutfanghose;
Wertraud;Schurke;18832;17069;16909;Unbarmherzige Klinge;Schläger-Mal;Blutfanghose;
