 Name;Klasse;prio1itemid;prio2itemid;prio3itemid;prio1itemname;prio2itemname;prio3itemname;
Elise;Druide;18875;18264;18252;Salamanderschuppengamaschen;Pläne: Elementarwetzstein;Muster: Kernrüstungsset;
Waldhard;Druide;17107;18823;19146;Drachenblut-Cape;Alte Kernlederhandschuhe;Handgelenksschutz der Stabilität;
Giftpilz;Hexenmeister;17103;19147;18809;Magierklinge des Azurlieds;Ring der Zauberkraft;Schärpe der geflüsterten Geheimnisse;
Twarves;Hexenmeister;18260;16253;17010;Formel: Waffe - Heilkraft;Formel: Brust - Große Werte;Feuerkern;
Wilfried;Hexenmeister;18820;13493;18257;Talisman der ephemeren Macht;Rezept: Großes Arkanelixier;Rezept: Erheblicher Verjüngungstrank;
Gwinnith;Jäger;16845;17010;17011;Brustplatte des Riesenjägers;Feuerkern;Lavakern;
Himijana;Jäger;16845;18260;18259;Brustplatte des Riesenjägers;Formel: Waffe - Heilkraft;Formel: Waffe - Zauberkraft;
Loyx;Jäger;16938;16846;16848;Beinschützer des Drachenjägers;Helm des Riesenjägers;Schulterklappen des Riesenjägers;
Shadowsniper;Jäger;0;18805;18832;;Kernhundzahn;Unbarmherzige Klinge;
Âmbition;Krieger;18264;18810;19147;Pläne: Elementarwetzstein;Wilde Wachstums-Schiftung;Ring der Zauberkraft;
Bergomann;Krieger;18821;18821;18821;Ring des rasanten Schlags;Ring des rasanten Schlags;Ring des rasanten Schlags;
Chesney;Krieger;19137;18832;17069;Gurt des Ansturms;Unbarmherzige Klinge;Schläger-Mal;
Evocíance;Krieger;19137;18832;18290;Gurt des Ansturms;Unbarmherzige Klinge;Bauplan: Biznicks 247x128 treffsicheres Zielfernro;
Harime;Krieger;19137;18832;13493;Gurt des Ansturms;Unbarmherzige Klinge;Rezept: Großes Arkanelixier;
Postbotin;Krieger;17203;11382;11382;Sulfuronblock;Blut des Berges;Blut des Berges;
Ragnard;Krieger;17203;14510;18292;Sulfuronblock;Muster: Bodenlose Tasche;Bauplan: Kernscharfschützengewehr;
Skadi;Krieger;19139;18810;17011;Brandwachenschultern;Wilde Wachstums-Schiftung;Lavakern;
Stahlwille;Krieger;18817;16858;16857;Krone der Zerstörung;Gürtel der Gerechtigkeit;Armschienen der Gerechtigkeit;
Thorgrimmson;Krieger;18290;18291;16866;Bauplan: Biznicks 247x128 treffsicheres Zielfernro;Bauplan: Machtreaktive Scheibe;Helm der Macht;
Asturarix;Magier;17103;16795;16801;Magierklinge des Azurlieds;Krone des Arkanisten;Handschuhe des Arkanisten;
Mála;Magier;226561;19147;17109;Gamaschen des Arkanisten;Ring der Zauberkraft;Halsschmuck der Erleuchtung;
Wassermaxi;Magier;18820;16915;16795;Talisman der ephemeren Macht;Hose des Netherwinds;Krone des Arkanisten;
Aldebaran;Paladin;17063;19137;18817;Band von Accuria;Gurt des Ansturms;Krone der Zerstörung;
Palanthor;Paladin;17103;17066;18810;Magierklinge des Azurlieds;Drillbohrer-Scheibe;Wilde Wachstums-Schiftung;
Barbíe;Priester;18646;16814;16811;Das Auge der Offenbarung;Hose der Prophezeiung;Stiefel der Prophezeiung;
Brasok;Priester;18259;18259;18259;Formel: Waffe - Zauberkraft;Formel: Waffe - Zauberkraft;Formel: Waffe - Zauberkraft;
Jandura;Priester;16922;0;0;Gamaschen der Erhabenheit;;;
Kerwin;Priester;17012;17010;17011;Kernleder;Feuerkern;Lavakern;
Medinait;Priester;18814;18814;18814;Halsschmuck des Feuerlords;Halsschmuck des Feuerlords;Halsschmuck des Feuerlords;
Muddi;Priester;16922;17105;19142;Gamaschen der Erhabenheit;Aurastein-Hammer;Feuerrunenverzierter Zauberfoliant;
Sinftw;Priester;18260;14510;18265;Formel: Waffe - Heilkraft;Muster: Bodenlose Tasche;Muster: Flimmerkernwickeltücher;
Solax;Priester;18259;19147;17011;Formel: Waffe - Zauberkraft;Ring der Zauberkraft;Lavakern;
Terion;Priester;16922;19140;18842;Gamaschen der Erhabenheit;Band der Ausbrennung;Stab der Dominanz;
Bloodwolf;Schurke;17069;17069;17069;Schläger-Mal;Schläger-Mal;Schläger-Mal;
Emergencydoc;Schurke;18816;18805;16824;Klinge des Verderbens;Kernhundzahn;Stiefel des Nachtmeuchlers;
Jôncenà;Schurke;17063;17063;17063;Band von Accuria;Band von Accuria;Band von Accuria;
Lonelysword;Schurke;18832;16826;16822;Unbarmherzige Klinge;Handschuhe des Nachtmeuchlers;Hose des Nachtmeuchlers;
Ripley;Schurke;16909;18805;18291;Blutfanghose;Kernhundzahn;Bauplan: Machtreaktive Scheibe;
Salto;Schurke;16826;18823;18805;Handschuhe des Nachtmeuchlers;Alte Kernlederhandschuhe;Kernhundzahn;
