 Name;Klasse;prio1itemid;prio2itemid;prio3itemid;prio1itemname;prio2itemname;prio3itemname;
Adeliana;Druide;19437;16899;16897;Stiefel des reinen Gedankens;Handschützer des Stormrage;Brustschutz des Stormrage;
Auxeroise;Druide;19395;19395;19395;Edelstein der Verjüngung;Edelstein der Verjüngung;Edelstein der Verjüngung;
Octa;Druide;0;19377;19405;;Prestors Talisman der Verschwörung;Malfurions gesegnetes Bollwerk;
Faizi;Hexenmeister;19379;19379;19379;Neltharions Träne;Neltharions Träne;Neltharions Träne;
Wilfried;Hexenmeister;19379;19379;19379;Neltharions Träne;Neltharions Träne;Neltharions Träne;
Fowen;Jäger;19377;19377;19377;Prestors Talisman der Verschwörung;Prestors Talisman der Verschwörung;Prestors Talisman der Verschwörung;
Gwinnith;Jäger;18227;16937;16941;Abgekauter Schnuller;Schiftung des Drachenjägers;Schienbeinschützer des Drachenjägers;
Himijana;Jäger;19361;19377;19346;Ashjre'thul, Armbrust der Pein;Prestors Talisman der Verschwörung;Drachenzahnklinge;
Locher;Jäger;16937;19384;16941;Schiftung des Drachenjägers;Ring des Meisterdrachentöters;Schienbeinschützer des Drachenjägers;
Âmbition;Krieger;19432;19341;19431;Kreis der angewandten Macht;Lebensspendender Edelstein;Styleens verhinderter Skarabäus;
Bergomann;Krieger;19406;19406;19406;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;
Evocíance;Krieger;19387;19387;19387;Chromatische Stiefel;Chromatische Stiefel;Chromatische Stiefel;
Ippok;Krieger;19406;19406;19406;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;
Perlenpaula;Krieger;18562;19385;17962;Elementiumerz;Energieerfüllte Gamaschen;Blauer Sack voller Edelsteine;
Postbotin;Krieger;19406;19406;19406;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;
Shandra;Krieger;22589;19432;19349;Atiesh, Hohestab des Wächters;Kreis der angewandten Macht;Elementiumverstärktes Bollwerk;
Skadi;Krieger;19406;19406;19406;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;
Thorgrimmson;Krieger;19432;19394;19437;Kreis der angewandten Macht;Drachenkrallenschulterstücke;Stiefel des reinen Gedankens;
Dahli;Magier;0;19367;19374;;Berührung des Drachen;Armschienen der arkanen Präzision;
Dantholomäos;Magier;0;16917;19003;;Mantel des Netherwinds;Kopf von Nefarian;
Excelsion;Magier;0;19370;19374;;Mantel der Pechschwingenkabale;Armschienen der arkanen Präzision;
Kera;Magier;18562;5760;16253;Elementiumerz;Eterniumschließkassette;Formel: Brust - Große Werte;
Babuna;Paladin;19395;16951;16952;Edelstein der Verjüngung;Bindungen des Richturteils;Gürtel des Richturteils;
Bubblesuri;Paladin;0;19372;19436;Käse;Helm der unendlichen Rage;Umhang der drachischen Macht;
Cromos;Paladin;18562;19382;0;Elementiumerz;Band aus reinem Elementium;;
Frooda;Priester;18562;19437;19395;Elementiumerz;Stiefel des reinen Gedankens;Edelstein der Verjüngung;
Jandura;Priester;19385;19385;19385;Energieerfüllte Gamaschen;Energieerfüllte Gamaschen;Energieerfüllte Gamaschen;
Kadyía;Priester;19403;16923;16925;Band der erzwungenen Konzentration;Roben der Erhabenheit;Gürtel der Erhabenheit;
Medinait;Priester;19360;19360;19360;Lok'amir il Romathis;Lok'amir il Romathis;Lok'amir il Romathis;
Ohfohrfs;Priester;0;19375;19370;luft und liebe;Mish'undare, Reif des Gedankenschinders;Mantel der Pechschwingenkabale;
Panador;Priester;19385;16924;16926;Energieerfüllte Gamaschen;Schulterstücke der Erhabenheit;Bindungen der Erhabenheit;
Solax;Priester;19395;19395;19395;Edelstein der Verjüngung;Edelstein der Verjüngung;Edelstein der Verjüngung;
Terion;Priester;19437;16924;16926;Stiefel des reinen Gedankens;Schulterstücke der Erhabenheit;Bindungen der Erhabenheit;
Yunnchen;Priester;19382;19382;19382;Band aus reinem Elementium;Band aus reinem Elementium;Band aus reinem Elementium;
Bloodwolf;Schurke;19352;19352;19352;Chromatisch gehärtetes Schwert;Chromatisch gehärtetes Schwert;Chromatisch gehärtetes Schwert;
Emergencydoc;Schurke;19377;19377;19377;Prestors Talisman der Verschwörung;Prestors Talisman der Verschwörung;Prestors Talisman der Verschwörung;
Jôncenà;Schurke;19351;19351;19351;Maladath, Runenverzierte Klinge des schwarzen Drac;Maladath, Runenverzierte Klinge des schwarzen Drac;Maladath, Runenverzierte Klinge des schwarzen Drac;
Kartell;Schurke;18562;17965;12717;Elementiumerz;Gelber Sack voller Edelsteine;Pläne: Löwenherzhelm;
Salto;Schurke;16910;19398;16905;Blutfanggürtel;Feuerschwingens Umhang;Blutfangbrustharnisch;
Thrillseeker;Schurke;19351;19351;19351;Maladath, Runenverzierte Klinge des schwarzen Drac;Maladath, Runenverzierte Klinge des schwarzen Drac;Maladath, Runenverzierte Klinge des schwarzen Drac;
