 Name;Klasse;prio1itemid;prio2itemid;prio3itemid;prio1itemname;prio2itemname;prio3itemname;
Aurifaber;Hexenmeister;0;0;0;;;;
Faizi;Hexenmeister;19379;19379;19379;Neltharions Träne;Neltharions Träne;Neltharions Träne;
Giftpilz;Hexenmeister;0;19347;16933;;Klaue von Chromaggus;Gürtel der Nemesis;
Nasadax;Hexenmeister;18562;230737;230810;Elementiumerz;Berührung des Drachen;Neltharions Träne;
Plutonia;Hexenmeister;18562;19374;19403;Elementiumerz;Armschienen der arkanen Präzision;Band der erzwungenen Konzentration;
Wilfried;Hexenmeister;0;19407;13493;;Ebenholzfarbene Flammenhandschuhe;Rezept: Großes Arkanelixier;
Fowen;Jäger;16940;16940;16940;Stulpen des Drachenjägers;Stulpen des Drachenjägers;Stulpen des Drachenjägers;
Himijana;Jäger;16942;16937;16940;Brustplatte des Drachenjägers;Schiftung des Drachenjägers;Stulpen des Drachenjägers;
Mikau;Jäger;19361;19361;19361;Ashjre'thul, Armbrust der Pein;Ashjre'thul, Armbrust der Pein;Ashjre'thul, Armbrust der Pein;
Shadowsniper;Jäger;19364;5760;4500;Ashkandi, Großschwert der Bruderschaft;Eterniumschließkassette;Reiserucksack;
Âmbition;Krieger;19352;19385;12717;Chromatisch gehärtetes Schwert;Energieerfüllte Gamaschen;Pläne: Löwenherzhelm;
Bergomann;Krieger;19351;19432;17965;Maladath, Runenverzierte Klinge des schwarzen Drac;Kreis der angewandten Macht;Gelber Sack voller Edelsteine;
Evocíance;Krieger;19387;19351;19341;Chromatische Stiefel;Maladath, Runenverzierte Klinge des schwarzen Drac;Lebensspendender Edelstein;
Harime;Krieger;0;19387;19352;;Chromatische Stiefel;Chromatisch gehärtetes Schwert;
Ippok;Krieger;19406;19406;19406;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;
Pepperoni;Krieger;19432;19349;19436;Kreis der angewandten Macht;Elementiumverstärktes Bollwerk;Umhang der drachischen Macht;
Postbotin;Krieger;19406;19406;19406;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;
Ragnard;Krieger;19406;19406;19406;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;
Skadi;Krieger;19376;19341;19431;Archimtiros' Ring der Abrechnung;Lebensspendender Edelstein;Styleens verhinderter Skarabäus;
Stahlwille;Krieger;18562;19433;19349;Elementiumerz;Sandzwirngamaschen;Elementiumverstärktes Bollwerk;
Thorgrimmson;Krieger;19432;21651;19431;Kreis der angewandten Macht;Schuppengamaschen des Sandhäschers;Styleens verhinderter Skarabäus;
Cleola;Magier;230810;230810;230810;Neltharions Träne;Neltharions Träne;Neltharions Träne;
Gingema;Magier;0;16916;5760;;Roben des Netherwinds;Eterniumschließkassette;
Tresuri;Magier;19339;19403;19374;Edelstein des Gedankensprungs;Band der erzwungenen Konzentration;Armschienen der arkanen Präzision;
Aldebaran;Paladin;0;0;0;;;;
Chores;Paladin;16253;17965;4500;Formel: Brust - Große Werte;Gelber Sack voller Edelsteine;Reiserucksack;
Crushíce;Paladin;0;19360;16958;;Lok'amir il Romathis;Brustplatte des Richturteils;
Ollebolle;Paladin;19395;19395;19395;Edelstein der Verjüngung;Edelstein der Verjüngung;Edelstein der Verjüngung;
Vintersol;Paladin;19395;19395;19395;Edelstein der Verjüngung;Edelstein der Verjüngung;Edelstein der Verjüngung;
Brasok;Priester;5760;5263;5263;Eterniumschließkassette;Fussel;Fussel;
Frooda;Priester;5263;19385;19437;Fussel;Energieerfüllte Gamaschen;Stiefel des reinen Gedankens;
Jandura;Priester;0;16919;16926;;Stiefel der Erhabenheit;Bindungen der Erhabenheit;
Kerwin;Priester;13493;13486;17964;Rezept: Großes Arkanelixier;Rezept: Untod zu Wasser transmutieren;Grauer Sack voller Edelsteine;
Medinait;Priester;19370;19403;19434;Mantel der Pechschwingenkabale;Band der erzwungenen Konzentration;Band der dunklen Herrschaft;
Patriona;Priester;18562;17962;17964;Elementiumerz;Blauer Sack voller Edelsteine;Grauer Sack voller Edelsteine;
Solax;Priester;19382;16919;19378;Band aus reinem Elementium;Stiefel der Erhabenheit;Umhang des Brutlords;
Terion;Priester;0;19347;16920;Fussel;Klaue von Chromaggus;Handschützer der Erhabenheit;
Bloodwolf;Schurke;19352;19346;19432;Chromatisch gehärtetes Schwert;Drachenzahnklinge;Kreis der angewandten Macht;
Bloodwolf;Schurke;0;0;0;;;;
Emegencydoc;Schurke;19352;16905;16911;Chromatisch gehärtetes Schwert;Blutfangbrustharnisch;Blutfangarmschienen;
Jôncenà;Schurke;19406;19406;19406;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;
Lonelysword;Schurke;0;0;0;;;;
Pogl;Schurke;19377;19381;16906;Prestors Talisman der Verschwörung;Stiefel der Schattenflamme;Blutfangstiefel;
Ripley;Schurke;19352;19365;19346;Chromatisch gehärtetes Schwert;Klaue des Schwarzen Drachen;Drachenzahnklinge;
Salto;Schurke;0;16911;16907;;Blutfangarmschienen;Blutfanghandschuhe;
