 Name;Klasse;prio1itemid;prio2itemid;prio3itemid;prio1itemname;prio2itemname;prio3itemname;
Adeliana;Druide;19382;19382;19382;Band aus reinem Elementium;Band aus reinem Elementium;Band aus reinem Elementium;
Nerethil;Druide;19437;19381;16253;Stiefel des reinen Gedankens;Stiefel der Schattenflamme;Formel: Brust - Große Werte;
Octa;Druide;19381;19377;16253;Stiefel der Schattenflamme;Prestors Talisman der Verschwörung;Formel: Brust - Große Werte;
Zinzino;Druide;16898;17962;16253;Stiefel des Stormrage;Blauer Sack voller Edelsteine;Formel: Brust - Große Werte;
Vetron;Hexenmeister;19379;19379;19379;Neltharions Träne;Neltharions Träne;Neltharions Träne;
Gwinnith;Jäger;19377;16937;20725;Prestors Talisman der Verschwörung;Schiftung des Drachenjägers;Nexuskristall;
Mcp;Jäger;16942;19398;19368;Brustplatte des Drachenjägers;Feuerschwingens Umhang;Drachenodemhandkanone;
Mikau;Jäger;19361;19361;19361;Ashjre'thul, Armbrust der Pein;Ashjre'thul, Armbrust der Pein;Ashjre'thul, Armbrust der Pein;
Shadowsniper;Jäger;19377;16937;16936;Prestors Talisman der Verschwörung;Schiftung des Drachenjägers;Gürtel des Drachenjägers;
Âmbition;Krieger;19351;19351;19351;Maladath, Runenverzierte Klinge des schwarzen Drac;Maladath, Runenverzierte Klinge des schwarzen Drac;Maladath, Runenverzierte Klinge des schwarzen Drac;
Deadplated;Krieger;19387;19387;19387;Chromatische Stiefel;Chromatische Stiefel;Chromatische Stiefel;
Kraz;Krieger;8932;19003;19394;Alteraclochkäse;Kopf von Nefarian;Drachenkrallenschulterstücke;
Ozzi;Krieger;19387;19387;19387;Chromatische Stiefel;Chromatische Stiefel;Chromatische Stiefel;
Skadi;Krieger;18562;19385;12717;Elementiumerz;Energieerfüllte Gamaschen;Pläne: Löwenherzhelm;
Thorgrimmson;Krieger;19406;19406;19406;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;
Arie;Magier;19379;19379;19379;Neltharions Träne;Neltharions Träne;Neltharions Träne;
Atanamir;Magier;0;19374;19374;;Armschienen der arkanen Präzision;Armschienen der arkanen Präzision;
Bøøstinatrix;Magier;19379;19379;19379;Neltharions Träne;Neltharions Träne;Neltharions Träne;
Cleola;Magier;18562;17965;17962;Elementiumerz;Gelber Sack voller Edelsteine;Blauer Sack voller Edelsteine;
Dantholomäos;Magier;19379;19379;19379;Neltharions Träne;Neltharions Träne;Neltharions Träne;
Estorus;Magier;0;16917;19339;;Mantel des Netherwinds;Edelstein des Gedankensprungs;
Lupia;Magier;0;19375;16818;;Mish'undare, Reif des Gedankenschinders;Gürtel des Netherwinds;
Mála;Magier;0;16918;16818;;Bindungen des Netherwinds;Gürtel des Netherwinds;
Babuna;Paladin;18562;17962;17964;Elementiumerz;Blauer Sack voller Edelsteine;Grauer Sack voller Edelsteine;
Eareldin;Paladin;0;19385;19437;;Energieerfüllte Gamaschen;Stiefel des reinen Gedankens;
Etharion;Paladin;5263;19385;19348;Fussel;Energieerfüllte Gamaschen;Roter Drachenschuppenbeschützer;
Helande;Paladin;19360;19395;19382;Lok'amir il Romathis;Edelstein der Verjüngung;Band aus reinem Elementium;
Palanthor;Paladin;19360;19349;19385;Lok'amir il Romathis;Elementiumverstärktes Bollwerk;Energieerfüllte Gamaschen;
Utus;Paladin;0;19437;19348;;Stiefel des reinen Gedankens;Roter Drachenschuppenbeschützer;
Ariee;Priester;5263;16920;19360;Fussel;Handschützer der Erhabenheit;Lok'amir il Romathis;
Bartino;Priester;0;19385;19437;Schokoeis;Energieerfüllte Gamaschen;Stiefel des reinen Gedankens;
Flunse;Priester;19437;19395;19400;Stiefel des reinen Gedankens;Edelstein der Verjüngung;Feuerschwingens Griff;
Jandura;Priester;19395;19395;19395;Edelstein der Verjüngung;Edelstein der Verjüngung;Edelstein der Verjüngung;
Kadyía;Priester;19403;19403;19403;Band der erzwungenen Konzentration;Band der erzwungenen Konzentration;Band der erzwungenen Konzentration;
Medinait;Priester;19379;19379;19379;Neltharions Träne;Neltharions Träne;Neltharions Träne;
Xarfai;Priester;19437;19374;19400;Stiefel des reinen Gedankens;Armschienen der arkanen Präzision;Feuerschwingens Griff;
Emergencydoc;Schurke;19406;19406;19406;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;
Salto;Schurke;18562;13493;13486;Elementiumerz;Rezept: Großes Arkanelixier;Rezept: Untod zu Wasser transmutieren;
Sieglînde;Schurke;19377;16907;16905;Prestors Talisman der Verschwörung;Blutfanghandschuhe;Blutfangbrustharnisch;
Thrillseeker;Schurke;19406;19406;19406;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;
