 Name;Klasse;prio1itemid;prio2itemid;prio3itemid;prio1itemname;prio2itemname;prio3itemname;
Adeliana;Druide;19382;19382;19382;Band aus reinem Elementium;Band aus reinem Elementium;Band aus reinem Elementium;
Nerethil;Druide;19385;19381;19405;Energieerfüllte Gamaschen;Stiefel der Schattenflamme;Malfurions gesegnetes Bollwerk;
Snow;Druide;0;19381;19389;;Stiefel der Schattenflamme;Gehärtete Drachenlederschulterpolster;
Nasadax;Hexenmeister;18562;19367;19400;Elementiumerz;Berührung des Drachen;Feuerschwingens Griff;
Vetron;Hexenmeister;19370;19407;19388;Mantel der Pechschwingenkabale;Ebenholzfarbene Flammenhandschuhe;Angelistas Gespür;
Wilfried;Hexenmeister;19379;19379;19379;Neltharions Träne;Neltharions Träne;Neltharions Träne;
Fowen;Jäger;18562;5760;4500;Elementiumerz;Eterniumschließkassette;Reiserucksack;
Gwinnith;Jäger;18231;19377;19368;Ärmelloses T-Shirt;Prestors Talisman der Verschwörung;Drachenodemhandkanone;
Locher;Jäger;16937;19377;19364;Schiftung des Drachenjägers;Prestors Talisman der Verschwörung;Ashkandi, Großschwert der Bruderschaft;
Loyx;Jäger;19364;16253;5760;Ashkandi, Großschwert der Bruderschaft;Formel: Brust - Große Werte;Eterniumschließkassette;
Mikau;Jäger;19361;19361;19361;Ashjre'thul, Armbrust der Pein;Ashjre'thul, Armbrust der Pein;Ashjre'thul, Armbrust der Pein;
Âmbition;Krieger;17965;19437;19352;Gelber Sack voller Edelsteine;Stiefel des reinen Gedankens;Chromatisch gehärtetes Schwert;
Bergomann;Krieger;19406;19406;19406;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;
Deadplated;Krieger;19387;19387;19387;Chromatische Stiefel;Chromatische Stiefel;Chromatische Stiefel;
Harime;Krieger;19352;19363;19381;Chromatisch gehärtetes Schwert;Crul'shorukh, Schneide des Chaos;Stiefel der Schattenflamme;
Ippok;Krieger;19432;19394;19372;Kreis der angewandten Macht;Drachenkrallenschulterstücke;Helm der unendlichen Rage;
Ozzi;Krieger;19352;19394;19363;Chromatisch gehärtetes Schwert;Drachenkrallenschulterstücke;Crul'shorukh, Schneide des Chaos;
Skadi;Krieger;19406;19406;19406;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;
Thorgrimmson;Krieger;19406;19406;19406;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;
Dahli;Magier;0;19367;19374;;Berührung des Drachen;Armschienen der arkanen Präzision;
Dantholomäos;Magier;19403;16916;16918;Band der erzwungenen Konzentration;Roben des Netherwinds;Bindungen des Netherwinds;
Excelsion;Magier;19339;19339;19339;Edelstein des Gedankensprungs;Edelstein des Gedankensprungs;Edelstein des Gedankensprungs;
Kera;Magier;18562;5760;16253;Elementiumerz;Eterniumschließkassette;Formel: Brust - Große Werte;
Helande;Paladin;19360;16958;19348;Lok'amir il Romathis;Brustplatte des Richturteils;Roter Drachenschuppenbeschützer;
Juksi;Paladin;19403;19375;13493;Band der erzwungenen Konzentration;Mish'undare, Reif des Gedankenschinders;Rezept: Großes Arkanelixier;
Palanthor;Paladin;16958;16953;16951;Brustplatte des Richturteils;Schiftung des Richturteils;Bindungen des Richturteils;
Séth;Paladin;19385;19437;19348;Energieerfüllte Gamaschen;Stiefel des reinen Gedankens;Roter Drachenschuppenbeschützer;
Brasok;Priester;18562;20725;5263;Elementiumerz;Nexuskristall;Fussel;
Flunse;Priester;19385;16925;19400;Energieerfüllte Gamaschen;Gürtel der Erhabenheit;Feuerschwingens Griff;
Jandura;Priester;19395;19395;19395;Edelstein der Verjüngung;Edelstein der Verjüngung;Edelstein der Verjüngung;
Kadyía;Priester;19403;16925;13486;Band der erzwungenen Konzentration;Gürtel der Erhabenheit;Rezept: Untod zu Wasser transmutieren;
Medinait;Priester;19360;19360;19360;Lok'amir il Romathis;Lok'amir il Romathis;Lok'amir il Romathis;
Solax;Priester;16923;16926;19434;Roben der Erhabenheit;Bindungen der Erhabenheit;Band der dunklen Herrschaft;
Terion;Priester;16926;19437;19374;Bindungen der Erhabenheit;Stiefel des reinen Gedankens;Armschienen der arkanen Präzision;
Xarfai;Priester;19395;19395;19395;Edelstein der Verjüngung;Edelstein der Verjüngung;Edelstein der Verjüngung;
Yunnchen;Priester;19395;19395;19395;Edelstein der Verjüngung;Edelstein der Verjüngung;Edelstein der Verjüngung;
Bloodwolf;Schurke;19406;19406;19406;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;
Emergencydoc;Schurke;19406;19406;19406;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;
Salto;Schurke;19406;19406;19406;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;Drachenfangzahn-Talisman;
Thrillseeker;Schurke;19351;19351;19351;Maladath, Runenverzierte Klinge des schwarzen Drac;Maladath, Runenverzierte Klinge des schwarzen Drac;Maladath, Runenverzierte Klinge des schwarzen Drac;
