 Name;Klasse;prio1itemid;prio2itemid;prio3itemid;prio1itemname;prio2itemname;prio3itemname;
Snow;Druide;5760;22988;23023;Eterniumschließkassette;Das Ende aller Träume;Sadistenhalsband;
Buffin;Hexenmeister;5760;5759;16253;Eterniumschließkassette;Thoriumschließkassette;Formel: Brust - Große Werte;
Deltana;Hexenmeister;22807;22351;23046;Gespensterklinge;Entweihte Robe;Die gebundene Essenz Saphirons;
Faizi;Hexenmeister;23049;23049;23049;Saphirons linkes Auge;Saphirons linkes Auge;Saphirons linkes Auge;
Twarves;Hexenmeister;23046;23070;23057;Die gebundene Essenz Saphirons;Gamaschen des Widerspruchs;Edelstein der gefangenen Unschuld;
Wilfried;Hexenmeister;0;22820;23070;;Zauberstab der Heimsuchung;Gamaschen des Widerspruchs;
Shadowsniper;Jäger;23053;22812;23014;Stormrages Talisman des Zorns;Nerubischer Sklavenjäger;Iblis, Klinge des gefallenen Engels;
Zotgrim;Jäger;22802;22802;22802;Königsmörder;Königsmörder;Königsmörder;
Bergomann;Krieger;22812;23056;22942;Nerubischer Sklavenjäger;Hammer des wirbelnden Nethers;Umarmung der Witwe;
Derhansdampf;Krieger;23045;23219;22942;Schleier der Herrschaft;Gurt des Mentors;Umarmung der Witwe;
Elbrus;Krieger;23054;23054;23054;Gressil, Vorbote des Untergangs;Gressil, Vorbote des Untergangs;Gressil, Vorbote des Untergangs;
Hauclir;Krieger;23242;22813;23039;Klaue des Frostwyrms;Claymore der unheiligen Kraft;Das Auge Nerubs;
Ippok;Krieger;23041;23041;23041;Wappen des Schlächters;Wappen des Schlächters;Wappen des Schlächters;
Pepperoni;Krieger;23014;23053;23219;Iblis, Klinge des gefallenen Engels;Stormrages Talisman des Zorns;Gurt des Mentors;
Postbotin;Krieger;23577;23577;23577;Die zehrende Kälte;Die zehrende Kälte;Die zehrende Kälte;
Ragnard;Krieger;22812;22798;23040;Nerubischer Sklavenjäger;Macht von Menethil;Glyphe der Abwehr;
Reyna;Krieger;23045;22936;23043;Schleier der Herrschaft;Handgelenksschutz der Rache;Das Gesicht des Todes;
Saturo;Krieger;22954;22954;22954;Kuss der Spinne;Kuss der Spinne;Kuss der Spinne;
Skadi;Krieger;22806;22808;23036;Reue der Witwe;Der Bestrafer;Halskette der Leichenschau;
Thorgrimmson;Krieger;23000;23548;22938;Gepanzerter Monstrositätenbrustkorb;Macht der Geißel;Seidenumhang der Gruftsatanskreatur;
Arie;Magier;22820;23545;23042;Zauberstab der Heimsuchung;Stärke der Geißel;Loathebs Abglanz;
Evociance;Magier;22799;16253;23042;Seelensucher;Formel: Brust - Große Werte;Loathebs Abglanz;
Icecoold;Magier;22807;22820;23545;Gespensterklinge;Zauberstab der Heimsuchung;Stärke der Geißel;
Jamera;Magier;0;22807;22983;;Gespensterklinge;Reifbedeckter Mantel;
Kera;Magier;23050;23050;23050;Umhang der Nekropole;Umhang der Nekropole;Umhang der Nekropole;
Anouk;Paladin;22691;22691;22691;Verderbter Aschenbringer;Verderbter Aschenbringer;Verderbter Aschenbringer;
Babuna;Paladin;23056;22939;23066;Hammer des wirbelnden Nethers;Band der unerhörten Gebete;Ring der Erlösung;
Blitzlicht;Paladin;22939;22960;0;Band der unerhörten Gebete;Umhang der Wundnaht;Güte der Vergebung;
Vintersol;Paladin;22960;22798;22815;Umhang der Wundnaht;Macht von Menethil;Wundspalter;
Brasok;Priester;5760;22803;22937;Eterniumschließkassette;Mitternachtsnebel;Edelstein von Nerubis;
Dennis;Priester;23047;23047;23047;Auge des Todes;Auge des Todes;Auge des Todes;
Kerwin;Priester;5760;22820;23031;Eterniumschließkassette;Zauberstab der Heimsuchung;Band des Unvermeidlichen;
Kohlhaas;Priester;5760;22941;22994;Eterniumschließkassette;Polarschulterpolster;Faulige Hand der Macht;
Sinftw;Priester;5760;23046;22799;Eterniumschließkassette;Die gebundene Essenz Saphirons;Seelensucher;
Solax;Priester;6096;22960;23009;Lehrlingshemd;Umhang der Wundnaht;Zauberstab des flüsternden Todes;
Yunnchen;Priester;23056;23061;22942;Hammer des wirbelnden Nethers;Ring des Glaubens;Umarmung der Witwe;
Desmond;Schurke;5760;23221;22808;Eterniumschließkassette;Verlegter Servoarm;Der Bestrafer;
Krüppler;Schurke;23045;23053;22812;Schleier der Herrschaft;Stormrages Talisman des Zorns;Nerubischer Sklavenjäger;
Relentless;Schurke;23054;23054;23054;Gressil, Vorbote des Untergangs;Gressil, Vorbote des Untergangs;Gressil, Vorbote des Untergangs;
