 Name;Klasse;prio1itemid;prio2itemid;prio3itemid;prio1itemname;prio2itemname;prio3itemname;
Snow;Druide;5760;23045;22520;Eterniumschließkassette;Schleier der Herrschaft;Kel'Thuzads Phylakterium;
Buffin;Hexenmeister;5759;5760;16253;Thoriumschließkassette;Eterniumschließkassette;Formel: Brust - Große Werte;
Faizi;Hexenmeister;23032;22799;0;Gletscherkopfputz;Seelensucher;;
Joi;Hexenmeister;0;0;0;;;;
Joi;Hexenmeister;23057;23001;23017;Edelstein der gefangenen Unschuld;Auge des Schwunds;Schleier der Finsternis;
Twarves;Hexenmeister;23046;23046;23046;Die gebundene Essenz Saphirons;Die gebundene Essenz Saphirons;Die gebundene Essenz Saphirons;
Wilfried;Hexenmeister;23050;23070;23031;Umhang der Nekropole;Gamaschen des Widerspruchs;Band des Unvermeidlichen;
Avid;Jäger;23053;23548;23548;Stormrages Talisman des Zorns;Macht der Geißel;Macht der Geißel;
Ellayana;Jäger;5760;23053;23044;Eterniumschließkassette;Stormrages Talisman des Zorns;Verdammnisbote;
Zotgrim;Jäger;23041;23242;23548;Wappen des Schlächters;Klaue des Frostwyrms;Macht der Geißel;
Derhansdampf;Krieger;23219;23045;22942;Gurt des Mentors;Schleier der Herrschaft;Umarmung der Witwe;
Hauclir;Krieger;23242;22813;22809;Klaue des Frostwyrms;Claymore der unheiligen Kraft;Keule des erlösten Kreuzzüglers;
Ippok;Krieger;23041;23041;23041;Wappen des Schlächters;Wappen des Schlächters;Wappen des Schlächters;
Jóhn;Krieger;23014;23045;23059;Iblis, Klinge des gefallenen Engels;Schleier der Herrschaft;Ring des Schreckenspanzers;
Perlenpaula;Krieger;22812;236326;22942;Nerubischer Sklavenjäger;Macht der Geißel;Umarmung der Witwe;
Postbotin;Krieger;22954;22954;22954;Kuss der Spinne;Kuss der Spinne;Kuss der Spinne;
Reyna;Krieger;22954;22954;22954;Kuss der Spinne;Kuss der Spinne;Kuss der Spinne;
Rydøn;Krieger;23548;23068;23226;Macht der Geißel;Beinplatten des Blutbads;Ghulhauttunika;
Saturo;Krieger;22954;22954;22954;Kuss der Spinne;Kuss der Spinne;Kuss der Spinne;
Skadi;Krieger;23577;23577;23577;Die zehrende Kälte;Die zehrende Kälte;Die zehrende Kälte;
Thorgrimmson;Krieger;23000;23219;22936;Gepanzerter Monstrositätenbrustkorb;Gurt des Mentors;Handgelenksschutz der Rache;
Zimzarek;Krieger;23038;23038;23038;Band der unnatürlichen Kräfte;Band der unnatürlichen Kräfte;Band der unnatürlichen Kräfte;
Arie;Magier;22820;5759;13486;Zauberstab der Heimsuchung;Thoriumschließkassette;Rezept: Untod zu Wasser transmutieren;
Evociance;Magier;22799;23042;22806;Seelensucher;Loathebs Abglanz;Reue der Witwe;
Excelsion;Magier;4601;22800;23237;Weiches Bananenbrot;Schwefelstab;Ring der ewigen Flamme;
Kera;Magier;22820;23545;0;Zauberstab der Heimsuchung;Stärke der Geißel;;
Shinyflakes;Magier;0;23057;236350;-;Edelstein der gefangenen Unschuld;Kel'Thuzads Phylakterium;
Anouk;Paladin;22691;22691;22691;Verderbter Aschenbringer;Verderbter Aschenbringer;Verderbter Aschenbringer;
Babuna;Paladin;23047;23047;23047;Auge des Todes;Auge des Todes;Auge des Todes;
Juksi;Paladin;0;0;23066;;;Ring der Erlösung;
Brasok;Priester;5760;23070;22935;Eterniumschließkassette;Gamaschen des Widerspruchs;Berührung des Frosts;
Kerwin;Priester;23031;22820;23025;Band des Unvermeidlichen;Zauberstab der Heimsuchung;Siegel der Verdammten;
Kohlhaas;Priester;5760;22994;22941;Eterniumschließkassette;Faulige Hand der Macht;Polarschulterpolster;
Patriona;Priester;23036;22820;23025;Halskette der Leichenschau;Zauberstab der Heimsuchung;Siegel der Verdammten;
Pharmia;Priester;23048;23036;22799;Saphirons rechtes Auge;Halskette der Leichenschau;Seelensucher;
Sinftw;Priester;5760;22799;22800;Eterniumschließkassette;Seelensucher;Schwefelstab;
Solax;Priester;22371;22960;22351;Entweihte Handschuhe;Umhang der Wundnaht;Entweihte Robe;
Desmond;Schurke;5760;22802;22808;Eterniumschließkassette;Königsmörder;Der Bestrafer;
Krüppler;Schurke;23053;23045;23548;Stormrages Talisman des Zorns;Schleier der Herrschaft;Macht der Geißel;
Relentless;Schurke;23054;23054;23054;Gressil, Vorbote des Untergangs;Gressil, Vorbote des Untergangs;Gressil, Vorbote des Untergangs;
Thrillseeker;Schurke;23014;23045;23548;Iblis, Klinge des gefallenen Engels;Schleier der Herrschaft;Macht der Geißel;
