 Name;Klasse;prio1itemid;prio2itemid;prio3itemid;prio1itemname;prio2itemname;prio3itemname;
Snow;Druide;5760;23018;23023;Eterniumschließkassette;Siegel des gefallenen Verteidigers;Sadistenhalsband;
Buffin;Hexenmeister;5759;23017;22799;Thoriumschließkassette;Schleier der Finsternis;Seelensucher;
Deltana;Hexenmeister;0;23070;22351;Lehrling - Viel Glück allen! ;Gamaschen des Widerspruchs;Entweihte Robe;
Eotling;Hexenmeister;12808;22803;23242;Essenz des Untodes;Mitternachtsnebel;Klaue des Frostwyrms;
Faizi;Hexenmeister;22807;23049;23545;Gespensterklinge;Saphirons linkes Auge;Stärke der Geißel;
Avid;Jäger;5760;23045;23038;Eterniumschließkassette;Schleier der Herrschaft;Band der unnatürlichen Kräfte;
Ellayana;Jäger;22802;22961;0;Königsmörder;Band des neuen Lebens;;
Zotgrim;Jäger;22812;22812;22812;Nerubischer Sklavenjäger;Nerubischer Sklavenjäger;Nerubischer Sklavenjäger;
Âmbition;Krieger;23577;23577;23577;Die zehrende Kälte;Die zehrende Kälte;Die zehrende Kälte;
Bergomann;Krieger;22954;22954;22954;Kuss der Spinne;Kuss der Spinne;Kuss der Spinne;
Derhansdampf;Krieger;22808;22812;23045;Der Bestrafer;Nerubischer Sklavenjäger;Schleier der Herrschaft;
Elbrus;Krieger;23054;23054;23054;Gressil, Vorbote des Untergangs;Gressil, Vorbote des Untergangs;Gressil, Vorbote des Untergangs;
Hauclir;Krieger;23242;22813;22809;Klaue des Frostwyrms;Claymore der unheiligen Kraft;Keule des erlösten Kreuzzüglers;
Ippok;Krieger;23041;22936;23059;Wappen des Schlächters;Handgelenksschutz der Rache;Ring des Schreckenspanzers;
Pepperoni;Krieger;23041;23219;22936;Wappen des Schlächters;Gurt des Mentors;Handgelenksschutz der Rache;
Postbotin;Krieger;23043;23038;23548;Das Gesicht des Todes;Band der unnatürlichen Kräfte;Macht der Geißel;
Ragnard;Krieger;23053;23053;23053;Stormrages Talisman des Zorns;Stormrages Talisman des Zorns;Stormrages Talisman des Zorns;
Reyna;Krieger;22708;22808;23242;Ramaladnis Schicksal;Der Bestrafer;Klaue des Frostwyrms;
Saturo;Krieger;23219;23045;23549;Gurt des Mentors;Schleier der Herrschaft;Standhaftigkeit der Geißel;
Skadi;Krieger;22806;22355;23018;Reue der Witwe;Entweihte Armschienen;Siegel des gefallenen Verteidigers;
Thorgrimmson;Krieger;23000;23548;23068;Gepanzerter Monstrositätenbrustkorb;Macht der Geißel;Beinplatten des Blutbads;
Zimzarek;Krieger;23014;23014;23014;Iblis, Klinge des gefallenen Engels;Iblis, Klinge des gefallenen Engels;Iblis, Klinge des gefallenen Engels;
Zquare;Krieger;5760;22939;22798;Eterniumschließkassette;Band der unerhörten Gebete;Macht von Menethil;
Arie;Magier;23057;23057;23057;Edelstein der gefangenen Unschuld;Edelstein der gefangenen Unschuld;Edelstein der gefangenen Unschuld;
Evociance;Magier;22799;23038;23549;Seelensucher;Band der unnatürlichen Kräfte;Standhaftigkeit der Geißel;
Kera;Magier;22820;23021;23025;Zauberstab der Heimsuchung;Bindungen des Seelenjägers;Siegel der Verdammten;
Pearli;Magier;23050;23050;23050;Umhang der Nekropole;Umhang der Nekropole;Umhang der Nekropole;
Petrosilius;Magier;23050;23050;23050;Umhang der Nekropole;Umhang der Nekropole;Umhang der Nekropole;
Anouk;Paladin;22691;22691;22691;Verderbter Aschenbringer;Verderbter Aschenbringer;Verderbter Aschenbringer;
Blitzlicht;Paladin;23047;22819;22939;Auge des Todes;Schild der Geißelung;Band der unerhörten Gebete;
Ollebolle;Paladin;23047;23030;22960;Auge des Todes;Umhang der Geißel;Umhang der Wundnaht;
Solax;Paladin;5760;23043;22981;Eterniumschließkassette;Das Gesicht des Todes;Gluths verschollenes Halsband;
Brasok;Priester;5760;23021;23070;Eterniumschließkassette;Bindungen des Seelenjägers;Gamaschen des Widerspruchs;
Dennis;Priester;23047;22939;23048;Auge des Todes;Band der unerhörten Gebete;Saphirons rechtes Auge;
Kerwin;Priester;5760;22983;23070;Eterniumschließkassette;Reifbedeckter Mantel;Gamaschen des Widerspruchs;
Kohlhaas;Priester;5760;22803;22994;Eterniumschließkassette;Mitternachtsnebel;Faulige Hand der Macht;
Liaha;Priester;5760;5760;5760;Eterniumschließkassette;Eterniumschließkassette;Eterniumschließkassette;
Patriona;Priester;22947;22820;23025;Anhänger der vergessenen Namen;Zauberstab der Heimsuchung;Siegel der Verdammten;
Sinftw;Priester;5760;23046;22988;Eterniumschließkassette;Die gebundene Essenz Saphirons;Das Ende aller Träume;
Juniwörsel;Schurke;22357;23060;23548;Entweihte Stulpen;Ring der Knochensense;Macht der Geißel;
Relentless;Schurke;23054;23054;23054;Gressil, Vorbote des Untergangs;Gressil, Vorbote des Untergangs;Gressil, Vorbote des Untergangs;
