 Name;Klasse;prio1itemid;prio2itemid;prio3itemid;prio1itemname;prio2itemname;prio3itemname;
Snow;Druide;22939;23549;23023;Band der unerhörten Gebete;Standhaftigkeit der Geißel;Sadistenhalsband;
Buffin;Hexenmeister;5759;23017;22799;Thoriumschließkassette;Schleier der Finsternis;Seelensucher;
Eotling;Hexenmeister;12808;22803;23242;Essenz des Untodes;Mitternachtsnebel;Klaue des Frostwyrms;
Faizi;Hexenmeister;23049;23545;23032;Saphirons linkes Auge;Stärke der Geißel;Gletscherkopfputz;
Joi;Hexenmeister;22807;23046;23070;Gespensterklinge;Die gebundene Essenz Saphirons;Gamaschen des Widerspruchs;
Avid;Jäger;23053;23045;23038;Stormrages Talisman des Zorns;Schleier der Herrschaft;Band der unnatürlichen Kräfte;
Zotgrim;Jäger;22812;22812;22812;Nerubischer Sklavenjäger;Nerubischer Sklavenjäger;Nerubischer Sklavenjäger;
Âmbition;Krieger;23219;23056;22942;Gurt des Mentors;Hammer des wirbelnden Nethers;Umarmung der Witwe;
Bergomann;Krieger;22954;22954;22954;Kuss der Spinne;Kuss der Spinne;Kuss der Spinne;
Elbrus;Krieger;23054;23054;23054;Gressil, Vorbote des Untergangs;Gressil, Vorbote des Untergangs;Gressil, Vorbote des Untergangs;
Hauclir;Krieger;23242;22813;23039;Klaue des Frostwyrms;Claymore der unheiligen Kraft;Das Auge Nerubs;
Pepperoni;Krieger;23041;22936;23038;Wappen des Schlächters;Handgelenksschutz der Rache;Band der unnatürlichen Kräfte;
Perlenpaula;Krieger;22954;22954;22954;Kuss der Spinne;Kuss der Spinne;Kuss der Spinne;
Postbotin;Krieger;23043;23041;23068;Das Gesicht des Todes;Wappen des Schlächters;Beinplatten des Blutbads;
Ragnard;Krieger;23053;23053;23053;Stormrages Talisman des Zorns;Stormrages Talisman des Zorns;Stormrages Talisman des Zorns;
Reyna;Krieger;23038;23242;22808;Band der unnatürlichen Kräfte;Klaue des Frostwyrms;Der Bestrafer;
Saturo;Krieger;23577;23577;23577;Die zehrende Kälte;Die zehrende Kälte;Die zehrende Kälte;
Shandra;Krieger;22632;23242;23071;Atiesh, Hohestab des Wächters;Klaue des Frostwyrms;Gamaschen der Apokalypse;
Skadi;Krieger;22806;22355;23018;Reue der Witwe;Entweihte Armschienen;Siegel des gefallenen Verteidigers;
Thorgrimmson;Krieger;23000;23038;22936;Gepanzerter Monstrositätenbrustkorb;Band der unnatürlichen Kräfte;Handgelenksschutz der Rache;
Zimzarek;Krieger;23014;23014;23014;Iblis, Klinge des gefallenen Engels;Iblis, Klinge des gefallenen Engels;Iblis, Klinge des gefallenen Engels;
Zquare;Krieger;5760;22939;22815;Eterniumschließkassette;Band der unerhörten Gebete;Wundspalter;
Arie;Magier;23057;23057;23057;Edelstein der gefangenen Unschuld;Edelstein der gefangenen Unschuld;Edelstein der gefangenen Unschuld;
Evociance;Magier;22375;23027;22375;Kampfzerschlissenes Plattenstück;Güte der Vergebung;Kampfzerschlissenes Plattenstück;
Icecold;Magier;23048;22820;22370;Saphirons rechtes Auge;Zauberstab der Heimsuchung;Entweihter Gürtel;
Kera;Magier;23021;22820;23031;Bindungen des Seelenjägers;Zauberstab der Heimsuchung;Band des Unvermeidlichen;
Pearli;Magier;23050;23050;23050;Umhang der Nekropole;Umhang der Nekropole;Umhang der Nekropole;
Petrosilius;Magier;23050;23050;23050;Umhang der Nekropole;Umhang der Nekropole;Umhang der Nekropole;
Anouk;Paladin;22691;22691;22691;Verderbter Aschenbringer;Verderbter Aschenbringer;Verderbter Aschenbringer;
Chores;Paladin;5760;22798;22988;Eterniumschließkassette;Macht von Menethil;Das Ende aller Träume;
Solax;Paladin;5760;23043;22981;Eterniumschließkassette;Das Gesicht des Todes;Gluths verschollenes Halsband;
Solax;Paladin;0;0;0;;;;
Brasok;Priester;5760;23070;23021;Eterniumschließkassette;Gamaschen des Widerspruchs;Bindungen des Seelenjägers;
Dennis;Priester;23047;23047;23047;Auge des Todes;Auge des Todes;Auge des Todes;
Kerwin;Priester;5760;23070;22983;Eterniumschließkassette;Gamaschen des Widerspruchs;Reifbedeckter Mantel;
Kohlhaas;Priester;0;0;0;;;;
Patriona;Priester;16253;22820;23031;Formel: Brust - Große Werte;Zauberstab der Heimsuchung;Band des Unvermeidlichen;
Sinftw;Priester;5760;23046;23049;Eterniumschließkassette;Die gebundene Essenz Saphirons;Saphirons linkes Auge;
Yunnchen;Priester;0;23056;22801;;Hammer des wirbelnden Nethers;Spitze des Zwiespalts;
Desmond;Schurke;5760;22802;22808;Eterniumschließkassette;Königsmörder;Der Bestrafer;
Juniwörsel;Schurke;22349;22802;23548;Entweihte Brustplatte;Königsmörder;Macht der Geißel;
Relentless;Schurke;23054;23054;23054;Gressil, Vorbote des Untergangs;Gressil, Vorbote des Untergangs;Gressil, Vorbote des Untergangs;
