 Name;Klasse;prio1itemid;prio2itemid;prio3itemid;prio1itemname;prio2itemname;prio3itemname;
Grashüpfer;Druide;8932;22939;22942;Alteraclochkäse;Band der unerhörten Gebete;Umarmung der Witwe;
Nerethil;Druide;22939;23018;23056;Band der unerhörten Gebete;Siegel des gefallenen Verteidigers;Hammer des wirbelnden Nethers;
Octa;Druide;23071;22938;23023;Gamaschen der Apokalypse;Seidenumhang der Gruftsatanskreatur;Sadistenhalsband;
Zinzino;Druide;0;22939;22359;;Band der unerhörten Gebete;Entweihte Beinschützer;
Eotling;Hexenmeister;22803;12808;22809;Mitternachtsnebel;Essenz des Untodes;Keule des erlösten Kreuzzüglers;
Ramoni;Hexenmeister;23031;23046;23032;Band des Unvermeidlichen;Die gebundene Essenz Saphirons;Gletscherkopfputz;
Shadowsniper;Jäger;23548;23053;22804;Macht der Geißel;Stormrages Talisman des Zorns;Maexxnas Fangzahn;
Hauclir;Krieger;23041;23030;22813;Wappen des Schlächters;Umhang der Geißel;Claymore der unheiligen Kraft;
Ippok;Krieger;23014;23014;23014;Iblis, Klinge des gefallenen Engels;Iblis, Klinge des gefallenen Engels;Iblis, Klinge des gefallenen Engels;
Reyna;Krieger;22954;22954;22954;Kuss der Spinne;Kuss der Spinne;Kuss der Spinne;
Skadi;Krieger;22954;22954;22954;Kuss der Spinne;Kuss der Spinne;Kuss der Spinne;
Thorgrimmson;Krieger;23577;23577;23577;Die zehrende Kälte;Die zehrende Kälte;Die zehrende Kälte;
Vans;Krieger;17406;22806;23000;Festtagskäserad;Reue der Witwe;Gepanzerter Monstrositätenbrustkorb;
Zquare;Krieger;22812;22812;22812;Nerubischer Sklavenjäger;Nerubischer Sklavenjäger;Nerubischer Sklavenjäger;
Arie;Magier;22820;14510;22806;Zauberstab der Heimsuchung;Muster: Bodenlose Tasche;Reue der Witwe;
Bøøstinatrix;Magier;5263;22807;22351;Fussel;Gespensterklinge;Entweihte Robe;
Excelsion;Magier;22820;23070;23031;Zauberstab der Heimsuchung;Gamaschen des Widerspruchs;Band des Unvermeidlichen;
Kera;Magier;22820;23025;0;Zauberstab der Heimsuchung;Siegel der Verdammten;;
Sindrael;Magier;0;22351;22983;;Entweihte Robe;Reifbedeckter Mantel;
Taledron;Magier;0;23070;22807;nix;Gamaschen des Widerspruchs;Gespensterklinge;
Anouk;Paladin;5760;23039;23050;Eterniumschließkassette;Das Auge Nerubs;Umhang der Nekropole;
Babuna;Paladin;5760;0;0;Eterniumschließkassette;;;
Juksi;Paladin;23056;22942;22960;Hammer des wirbelnden Nethers;Umarmung der Witwe;Umhang der Wundnaht;
Lielle;Paladin;22939;22960;23006;Band der unerhörten Gebete;Umhang der Wundnaht;Buchband des Lichts;
Sintha;Paladin;22942;22942;23006;;Umarmung der Witwe;Buchband des Lichts;
Bimm;Priester;23036;22800;22820;Halskette der Leichenschau;Schwefelstab;Zauberstab der Heimsuchung;
Brasok;Priester;5760;23070;23001;Eterniumschließkassette;Gamaschen des Widerspruchs;Auge des Schwunds;
Ibuprofen;Priester;0;22939;22371;;Band der unerhörten Gebete;Entweihte Handschuhe;
Kerwin;Priester;22820;23025;23046;Zauberstab der Heimsuchung;Siegel der Verdammten;Die gebundene Essenz Saphirons;
Patriona;Priester;5760;22820;22988;Eterniumschließkassette;Zauberstab der Heimsuchung;Das Ende aller Träume;
Emergencydoc;Schurke;22806;22802;22935;Reue der Witwe;Königsmörder;Berührung des Frosts;
Erzcastiel;Schurke;8932;22349;22353;Alteraclochkäse;Entweihte Brustplatte;Entweihter Helm;
Relentless;Schurke;23054;23054;23054;Gressil, Vorbote des Untergangs;Gressil, Vorbote des Untergangs;Gressil, Vorbote des Untergangs;
Thoxi;Schurke;0;22357;22354;;Entweihte Stulpen;Entweihte Schulterstücke;
